Country,Name,Lat,Lon,Population
Japan,Tokyo,35.6897,139.6922,37977000
Indonesia,Jakarta,-6.2146,106.8451,34540000
India,Delhi,28.66,77.23,29617000
India,Mumbai,18.9667,72.8333,23355000
Philippines,Manila,14.6,120.9833,23088000
China,Shanghai,31.1667,121.4667,22120000
Brazil,São Paulo,-23.5504,-46.6339,22046000
"Korea, South",Seoul,37.56,126.99,21794000
Mexico,Mexico City,19.4333,-99.1333,20996000
China,Guangzhou,23.1288,113.259,20902000
China,Beijing,39.905,116.3914,19433000
Egypt,Cairo,30.0561,31.2394,19372000
United States,New York,40.6943,-73.9249,18713220
India,Kolk?ta,22.5411,88.3378,17560000
Russia,Moscow,55.7558,37.6178,17125000
Thailand,Bangkok,13.75,100.5167,17066000
Argentina,Buenos Aires,-34.5997,-58.3819,16157000
China,Shenzhen,22.535,114.054,15929000
Bangladesh,Dhaka,23.7289,90.3944,15443000
Nigeria,Lagos,6.45,3.4,15279000
Turkey,Istanbul,41.01,28.9603,15154000
Japan,?saka,34.75,135.4601,14977000
Pakistan,Karachi,24.86,67.01,14835000
India,Bangalore,12.9699,77.598,13707000
Iran,Tehran,35.7,51.4167,13633000
Congo (Kinshasa),Kinshasa,-4.3233,15.3081,13528000
Vietnam,Ho Chi Minh City,10.8167,106.6333,13312000
United States,Los Angeles,34.1139,-118.4068,12750807
Brazil,Rio de Janeiro,-22.9083,-43.1964,12272000
China,Nanyang,32.9987,112.5292,12010000
China,Baoding,38.8671,115.4845,11860000
India,Chennai,13.0825,80.275,11324000
China,Chengdu,30.66,104.0633,11309000
Pakistan,Lahore,31.5497,74.3436,11021000
France,Paris,48.8566,2.3522,11020000
United Kingdom,London,51.5072,-0.1275,10979000
China,Linyi,35.0606,118.3425,10820000
China,Tianjin,39.1467,117.2056,10800000
China,Shijiazhuang,38.0422,114.5086,10784600
China,Zhoukou,33.625,114.6418,9901000
Peru,Lima,-12.05,-77.0333,9848000
India,Hyder?b?d,17.3667,78.4667,9746000
China,Handan,36.6116,114.4894,9549700
Colombia,Bogotá,4.6126,-74.0705,9464000
China,Weifang,36.7167,119.1,9373000
Japan,Nagoya,35.1167,136.9333,9113000
China,Wuhan,30.5872,114.2881,8962000
China,Heze,35.2333,115.4333,8750000
